titlle,url,price,sales
"GoPro Hero3+ Black Edition HERO3 PLUS 4K Camera, Extras, Remote, Waterproof MINT  | eBay",http://www.ebay.com/itm/GoPro-Hero3-Black-Edition-HERO3-PLUS-4K-Camera-Extras-Remote-Waterproof-MINT-/263301819447,115.0,0.0
GOPRO GoPro Hero 3 + Plus Camera Camcorder Black Edition  ALL ORIG  #GUD345 818279010817 | eBay,http://www.ebay.com/itm/GOPRO-GoPro-Hero-3-Plus-Camera-Camcorder-Black-Edition-ALL-ORIG-GUD345-/162709437909,112.19,0.0
GoPro HERO3+ Black Edition with Accessories 818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Accessories-/182882799806,110.0,0.0
GoPro HERO3+ Black Edition Camcorder -  Black + Accessories 818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Black-Accessories-/272922816164,109.99,0.0
Gopro Hero 3 Camera Camcorder Black Edition Battery CHDHX-301 & Accessories   | eBay,http://www.ebay.com/itm/Gopro-Hero-3-Camera-Camcorder-Black-Edition-Battery-CHDHX-301-Accessories-/192344471214,109.99,0.0
Used Black Edition GoPro Go Pro Hero 3+ Hero3 + Plus Video Camera Tested #hero3+  | eBay,http://www.ebay.com/itm/Used-Black-Edition-GoPro-Go-Pro-Hero-3-Hero3-Plus-Video-Camera-Tested-hero3-/162709133539,109.34,0.0
GoPro HERO 4 Black edition With accessories. 818279012774 | eBay,http://www.ebay.com/itm/GoPro-HERO-4-Black-edition-accessories-/302519738845,105.5,0.0
GoPro Hero3+ Black Edition with 5 Batteries and accessories  | eBay,http://www.ebay.com/itm/GoPro-Hero3-Black-Edition-5-Batteries-and-accessories-/162741939750,104.99,0.0
GOPRO GoPro Hero 3 + Plus Camera Camcorder Black Edition orig Battery #Gosha 818279010817 | eBay,http://www.ebay.com/itm/GOPRO-GoPro-Hero-3-Plus-Camera-Camcorder-Black-Edition-orig-Battery-Gosha-/152739687516,104.54,3.0
GoPro HERO3+ Black Edition Camcorder -  Black + lots of extras and batteries  818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Black-lots-extras-and-batteries-/202105634711,103.51,0.0
GoPro HERO 3+ Black Edition - 4K HD - LCD Screen Attachment - Remote - Extras!  6935698752112 | eBay,http://www.ebay.com/itm/GoPro-HERO-3-Black-Edition-4K-HD-LCD-Screen-Attachment-Remote-Extras-/192354610720,102.5,0.0
"Gopro Hero 4 BLACK Edition Action Camera, SDCard, Battery, Protective Case. 818279012774 | eBay",http://www.ebay.com/itm/Gopro-Hero-4-BLACK-Edition-Action-Camera-SDCard-Battery-Protective-Case-/253246754094,100.28,0.0
Gopro Hero 3 + Black Edition  | eBay,http://www.ebay.com/itm/Gopro-Hero-3-Black-Edition-/263313261421,102.5,0.0
GoPro HERO3+ Black Edition Camcorder -  Black 818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Black-/272918673339,100.0,0.0
GoPro HERO3+ Black Edition Camcorder -  Black 818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Black-/222714760072,100.0,0.0
GoPro HERO3: Black Edition High Definition Flash Media Camcorder 818279010022 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-High-Definition-Flash-Media-Camcorder-/272921747570,100.0,0.0
GoPro HERO3+ Black Edition Camcorder with Accessories 818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Accessories-/142573019254,99.99,0.0
Black Pelican ™ 1300 Case fits  2 GoPro Hero5 4 3+ 3  Black  | eBay,http://www.ebay.com/itm/Black-Pelican-1300-Case-fits-2-GoPro-Hero5-4-3-3-Black-/322802542533,99.98,0.0
LOT OF 2 GoPro HERO & HERO3+ Black Edition Action Camera (NON WORKING FOR PARTS)  | eBay,http://www.ebay.com/itm/LOT-2-GoPro-HERO-HERO3-Black-Edition-Action-Camera-NON-WORKING-PARTS-/232377610078,99.95,0.0
GoPro HERO3: Black Edition High Definition Action Camcorder Hero 3 818279010022 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-High-Definition-Action-Camcorder-Hero-3-/132394484518,96.11,0.0
GoPro HERO3: Black Edition High Definition Flash Media Camcorder 818279010022 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-High-Definition-Flash-Media-Camcorder-/112635778895,122.5,0.0
2 GoPro HERO3&apos;s – Black 2fer SPECIAL  | eBay,http://www.ebay.com/itm/2-GoPro-HERO3s-Black-2fer-SPECIAL-/292315051397,95.0,1.0
71BC-M-GPRO GoPro Hero 3+ Black Edition Sports Action Camera  | eBay,http://www.ebay.com/itm/71BC-M-GPRO-GoPro-Hero-3-Black-Edition-Sports-Action-Camera-/232557299031,92.99,0.0
GoPro HERO3+ Black Edition Camcorder -  Black 818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Black-/222706829701,92.0,0.0
"SHOOT 6"" Diving Underwater Camera Lens Dome Port Cover Shell for GoPro 4 / 3+  | eBay",http://www.ebay.com/itm/SHOOT-6-Diving-Underwater-Camera-Lens-Dome-Port-Cover-Shell-GoPro-4-3-/282071075630,91.5,2.0
GoPro HERO3+ Black Edition Camcorder -  Black 818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Black-/222707400123,91.49,0.0
"GoPro HERO3+ Black Edition Camcorder -  Black, With Accessories  818279010817 | eBay",http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Black-Accessories-/182879781466,90.0,0.0
 REVISED GoPro HERO3: Black Edition High Definition Flash Media Camcorder 818279010022 | eBay,http://www.ebay.com/itm/REVISED-GoPro-HERO3-Black-Edition-High-Definition-Flash-Media-Camcorder-/202105946481,90.0,0.0
"GoPro HERO3+ Black Edition + MANY Accessories - 2 Selfie Sticks, MicroSD & More! 818279010817 | eBay",http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-MANY-Accessories-2-Selfie-Sticks-MicroSD-More-/292326174532,89.99,0.0
Gopro Hero 3 Camera Camcorder Black Edition With Battery CHDHX-301 Black 4016138800227 | eBay,http://www.ebay.com/itm/Gopro-Hero-3-Camera-Camcorder-Black-Edition-Battery-CHDHX-301-Black-/332226210213,89.99,240.0
"Gopro Hero 3 Black Full Assembly image sensor, LCD assembly, lens, Motherboard   | eBay",http://www.ebay.com/itm/Gopro-Hero-3-Black-Full-Assembly-image-sensor-LCD-assembly-lens-Motherboard-/332282382792,89.99,7.0
GoPro HERO3+ Black Edition Digital Camcorder -  Black  818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Digital-Camcorder-Black-/142575137851,89.0,0.0
GoPro HERO3: Black Edition With lots of extras. 818279010022 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-lots-extras-/263301910566,87.7,0.0
GoPro Go Pro Hero3+ Hero 3 Plus Black Edition Camera Waterproof Lot Extras Acces  | eBay,http://www.ebay.com/itm/GoPro-Go-Pro-Hero3-Hero-3-Plus-Black-Edition-Camera-Waterproof-Lot-Extras-Acces-/272917960777,86.0,0.0
New GoPro Hero 3 Hero 3+ Hero 4 BLACK Charging Connector  Fix SERVICE POSTAL(#6)  | eBay,http://www.ebay.com/itm/New-GoPro-Hero-3-Hero-3-Hero-4-BLACK-Charging-Connector-Fix-SERVICE-POSTAL-6-/282544229537,65.0,13.0
6 inch Diving Dome for Gopro Hero 5 4 Action Camera Hand Grip Waterproof  | eBay,http://www.ebay.com/itm/6-inch-Diving-Dome-Gopro-Hero-5-4-Action-Camera-Hand-Grip-Waterproof-/182887559696?var=0,107.95,0.0
6 inch Diving Dome for Gopro Hero 5 4 Action Camera Hand Grip Waterproof  | eBay,http://www.ebay.com/itm/6-inch-Diving-Dome-Gopro-Hero-5-4-Action-Camera-Hand-Grip-Waterproof-/182887559696?var=690187688156,107.95,0.0
GoPro HERO3+ Black Edition Camcorder -  Black 818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-Black-/222706820392,81.0,0.0
GoPro HERO 3 Black Edition with Remote Control  818279010817 | eBay,http://www.ebay.com/itm/GoPro-HERO-3-Black-Edition-Remote-Control-/222713432276,80.0,0.0
GoPro HERO3 White Edition Action Camera Camcorder Wi-Fi CHDHE-301  818279010008 | eBay,http://www.ebay.com/itm/GoPro-HERO3-White-Edition-Action-Camera-Camcorder-Wi-Fi-CHDHE-301-/371984148389,79.99,216.0
GoPro Wi-Fi Remote 185323000569 | eBay,http://www.ebay.com/itm/GoPro-Wi-Fi-Remote-/172710107991,79.99,0.0
Tenergy Sidekick 6 Combo for GoPro Hero 3 Battery  | eBay,http://www.ebay.com/itm/Tenergy-Sidekick-6-Combo-GoPro-Hero-3-Battery-/172934657933,79.95,0.0
Genuine OEM Pink Pelican ™ 1170 case fits GoPro Hero4 3+ 3 2 Camera +Free Wrench  | eBay,http://www.ebay.com/itm/Genuine-OEM-Pink-Pelican-1170-case-fits-GoPro-Hero4-3-3-2-Camera-Free-Wrench-/322106416874,79.92,2.0
All You Need Accessory Kit for GoPro Hero3 With Large Case Hero3 go Pro Hero 3  | eBay,http://www.ebay.com/itm/All-You-Need-Accessory-Kit-GoPro-Hero3-Large-Case-Hero3-go-Pro-Hero-3-/122537219263,79.39,0.0
GoPro Hero 3 - Black Edition  | eBay,http://www.ebay.com/itm/GoPro-Hero-3-Black-Edition-/112634779620,79.01,0.0
SUPERVIEW STOCK LENS 2.5MM FISH EYE REPLACEMENT FOR HD HERO3+GOPRO BLACK CAMERA  | eBay,http://www.ebay.com/itm/SUPERVIEW-STOCK-LENS-2-5MM-FISH-EYE-REPLACEMENT-HD-HERO3-GOPRO-BLACK-CAMERA-/400583614184,79.0,57.0
GoPro HERO3 Black Edition Camcorder CHDHX-301 PARTS-BROKEN-AS IS 818279010008 | eBay,http://www.ebay.com/itm/GoPro-HERO3-Black-Edition-Camcorder-CHDHX-301-PARTS-BROKEN-AS-/132090408437,79.0,0.0
